e,reward,score,move
1.0,-104.0,0.0,15.0
2.0,-96.0,0.0,5.0
3.0,-103.0,0.0,16.0
4.0,-104.0,0.0,39.0
5.0,-92.0,0.0,11.0
6.0,-111.0,0.0,12.0
7.0,-103.0,0.0,14.0
8.0,-97.0,0.0,4.0
9.0,-93.0,0.0,18.0
10.0,-97.0,0.0,4.0
11.0,-99.0,0.0,32.0
12.0,-106.0,0.0,11.0
13.0,-101.0,0.0,10.0
14.0,-91.0,0.0,12.0
15.0,-101.0,0.0,2.0
16.0,-100.0,0.0,1.0
17.0,-101.0,0.0,4.0
18.0,-83.0,0.0,38.0
19.0,-110.0,0.0,23.0
20.0,-104.0,0.0,15.0
21.0,-104.0,0.0,109.0
22.0,-100.0,0.0,1.0
23.0,-104.0,0.0,25.0
24.0,-98.0,0.0,7.0
25.0,-108.0,0.0,13.0
26.0,-101.0,0.0,2.0
27.0,-100.0,0.0,35.0
28.0,-103.0,0.0,4.0
29.0,-96.0,0.0,15.0
30.0,-107.0,0.0,30.0
31.0,-103.0,0.0,30.0
32.0,-90.0,0.0,43.0
33.0,-100.0,0.0,9.0
34.0,-95.0,0.0,12.0
35.0,-101.0,0.0,4.0
36.0,-100.0,0.0,27.0
37.0,-93.0,0.0,14.0
38.0,-76.0,1.0,60.0
39.0,-62.0,1.0,54.0
40.0,-93.0,0.0,8.0
41.0,-24.0,3.0,102.0
42.0,-63.0,1.0,137.0
43.0,-97.0,0.0,6.0
44.0,211.0,11.0,335.0
45.0,-87.0,0.0,140.0
46.0,-4.0,5.0,104.0
47.0,355.0,21.0,471.0
48.0,514.0,27.0,498.0
49.0,-22.0,4.0,669.0
50.0,123.0,8.0,218.0
51.0,44.0,6.0,165.0
52.0,182.0,12.0,187.0
53.0,76.0,7.0,158.0
54.0,512.0,25.0,512.0
55.0,85.0,10.0,216.0
56.0,197.0,13.0,255.0
57.0,134.0,11.0,244.0
58.0,119.0,8.0,202.0
59.0,29.0,6.0,130.0
60.0,-28.0,2.0,103.0
61.0,166.0,12.0,327.0
