e,reward,score,move
1.0,-102.0,0.0,29.0
2.0,-107.0,0.0,54.0
3.0,-98.0,0.0,5.0
4.0,-90.0,0.0,23.0
5.0,-102.0,0.0,3.0
6.0,-108.0,0.0,11.0
7.0,-100.0,0.0,25.0
8.0,-102.0,0.0,9.0
9.0,-98.0,0.0,9.0
10.0,-59.0,2.0,78.0
11.0,-94.0,0.0,9.0
12.0,-107.0,0.0,28.0
13.0,-99.0,0.0,12.0
14.0,-102.0,0.0,7.0
15.0,-98.0,0.0,3.0
16.0,-105.0,0.0,8.0
17.0,-100.0,0.0,1.0
18.0,-110.0,0.0,21.0
19.0,-94.0,0.0,31.0
20.0,-97.0,0.0,6.0
21.0,-102.0,0.0,3.0
22.0,-104.0,0.0,21.0
23.0,-100.0,0.0,3.0
24.0,-92.0,0.0,29.0
25.0,-107.0,0.0,28.0
26.0,-100.0,0.0,1.0
27.0,-108.0,0.0,13.0
28.0,-107.0,0.0,56.0
29.0,-110.0,0.0,19.0
30.0,-69.0,1.0,49.0
31.0,-106.0,0.0,7.0
32.0,-72.0,1.0,48.0
33.0,-94.0,0.0,15.0
34.0,-93.0,0.0,40.0
35.0,-91.0,0.0,14.0
36.0,-63.0,2.0,56.0
37.0,-60.0,2.0,27.0
38.0,-88.0,0.0,13.0
39.0,-41.0,3.0,41.0
40.0,-86.0,0.0,21.0
41.0,89.0,7.0,205.0
42.0,9.0,5.0,197.0
43.0,242.0,13.0,242.0
44.0,-53.0,2.0,296.0
45.0,402.0,20.0,439.0
46.0,-74.0,1.0,46.0
47.0,75.0,8.0,308.0
48.0,56.0,7.0,164.0
49.0,-74.0,0.0,55.0
50.0,33.0,5.0,107.0
51.0,-95.0,0.0,16.0
52.0,159.0,11.0,227.0
53.0,-39.0,2.0,54.0
54.0,203.0,14.0,224.0
55.0,211.0,15.0,341.0
56.0,128.0,11.0,168.0
57.0,598.0,31.0,626.0
58.0,525.0,27.0,419.0
59.0,214.0,12.0,231.0
60.0,130.0,8.0,165.0
61.0,146.0,11.0,150.0
62.0,169.0,11.0,203.0
63.0,381.0,18.0,428.0
64.0,-92.0,0.0,73.0
65.0,440.0,26.0,391.0
66.0,-92.0,0.0,15.0
67.0,17.0,5.0,141.0
68.0,333.0,18.0,308.0
69.0,-25.0,4.0,42.0
70.0,105.0,10.0,134.0
71.0,303.0,18.0,274.0
72.0,27.0,5.0,85.0
73.0,127.0,12.0,196.0
74.0,545.0,27.0,545.0
75.0,40.0,7.0,98.0
76.0,7.0,5.0,95.0
77.0,120.0,10.0,407.0
78.0,30.0,6.0,195.0
79.0,161.0,12.0,170.0
80.0,-15.0,4.0,60.0
81.0,239.0,17.0,265.0
82.0,271.0,14.0,278.0
83.0,8.0,4.0,83.0
84.0,-10.0,3.0,158.0
85.0,-16.0,4.0,75.0
86.0,67.0,7.0,149.0
87.0,25.0,6.0,90.0
88.0,-50.0,2.0,133.0
89.0,175.0,12.0,182.0
90.0,-13.0,4.0,72.0
91.0,-95.0,0.0,18.0
