,episode,cumulative_reward,moves,score
0,1,-104,17,0
1,2,-103,16,0
2,3,-99,28,0
3,4,-98,27,0
4,5,-111,36,0
5,6,-104,25,0
6,7,-106,25,0
7,8,-104,13,0
8,9,-103,16,0
9,10,-86,36,1
