,episode,cumulative_reward,moves,score
0,1,-104,17,0
1,2,-103,16,0
2,3,-99,28,0
3,4,-98,27,0
4,5,-111,36,0
5,6,-104,25,0
6,7,-106,25,0
7,8,-104,13,0
8,9,-103,16,0
9,10,-86,36,1
10,11,-101,74,0
11,12,-85,39,1
12,13,-106,47,0
13,14,-108,25,0
14,15,-107,28,0
15,16,-97,102,0
16,17,-74,62,1
17,18,-92,13,0
18,19,-79,33,1
19,20,-90,27,0
20,21,-66,37,2
21,22,-102,11,0
22,23,-57,43,3
23,24,-105,30,0
24,25,-14,94,3
25,26,-71,20,2
26,27,194,188,15
27,28,33,107,7
28,29,63,98,8
29,30,-31,77,3
30,31,-83,11,1
31,32,96,106,11
32,33,107,115,11
33,34,236,213,18
34,35,108,128,11
35,36,62,92,9
36,37,6,64,5
37,38,120,134,11
38,39,145,143,13
39,40,411,319,29
40,41,112,123,10
41,42,-90,22,1
42,43,199,210,16
43,44,355,291,23
44,45,-29,42,4
45,46,51,92,8
46,47,192,173,14
47,48,193,182,14
48,49,218,239,16
49,50,349,278,26
50,51,303,206,24
51,52,175,154,14
52,53,244,217,16
53,54,85,100,10
54,55,105,166,10
