,episode,cumulative_reward,moves,score
0,1,-103,36,0
1,2,-106,15,0
2,3,-105,36,0
3,4,-109,22,0
4,5,-104,7,0
5,6,-105,50,0
6,7,-108,41,0
7,8,-104,65,0
8,9,-100,25,0
9,10,-104,17,0
10,11,-92,31,0
11,12,-93,42,0
12,13,-95,38,0
13,14,-103,12,0
14,15,-106,13,0
15,16,-102,13,0
16,17,-108,9,0
17,18,-99,30,0
18,19,-88,48,1
19,20,-102,31,0
20,21,-67,40,2
21,22,-69,38,2
22,23,-4,98,5
23,24,10,69,6
24,25,-76,7,2
25,26,-73,19,1
26,27,177,184,12
27,28,280,206,21
28,29,66,103,8
29,30,26,66,7
