e,reward,score,move
1.0,-107.0,0.0,20.0
2.0,-115.0,0.0,30.0
3.0,-101.0,0.0,4.0
4.0,-101.0,0.0,20.0
5.0,-100.0,0.0,1.0
6.0,-94.0,0.0,49.0
7.0,-102.0,0.0,3.0
8.0,-97.0,0.0,8.0
9.0,-101.0,0.0,2.0
10.0,-100.0,0.0,1.0
11.0,-105.0,0.0,8.0
12.0,-100.0,0.0,1.0
13.0,-100.0,0.0,1.0
14.0,-101.0,0.0,4.0
15.0,-90.0,0.0,37.0
16.0,-109.0,0.0,88.0
17.0,-104.0,0.0,13.0
18.0,-98.0,0.0,39.0
19.0,-97.0,0.0,8.0
20.0,-98.0,0.0,63.0
21.0,-100.0,0.0,5.0
22.0,-99.0,0.0,2.0
23.0,-100.0,0.0,1.0
24.0,-95.0,0.0,40.0
25.0,-97.0,0.0,4.0
26.0,-98.0,0.0,3.0
27.0,-99.0,0.0,2.0
28.0,-100.0,0.0,1.0
29.0,-101.0,0.0,2.0
30.0,-104.0,0.0,5.0
31.0,-95.0,0.0,6.0
32.0,-101.0,0.0,6.0
33.0,-100.0,0.0,1.0
34.0,-101.0,0.0,4.0
35.0,-109.0,0.0,40.0
36.0,-100.0,0.0,1.0
37.0,-110.0,0.0,21.0
38.0,-91.0,0.0,14.0
39.0,-105.0,0.0,34.0
40.0,-105.0,0.0,26.0
41.0,-102.0,0.0,15.0
42.0,-102.0,0.0,3.0
43.0,-97.0,0.0,6.0
44.0,-106.0,0.0,7.0
